[ERROR] 2016-06-12 11:49:29| wrong URI, line number:2 | LoggerUtil.java.error 13
[INFO] 2016-06-12 11:49:29| [click.log-20160611.log]done,共5行 | LoggerUtil.java.info 9
[ERROR] 2016-06-12 11:49:29| wrong URI, line number:3 | LoggerUtil.java.error 13
[ERROR] 2016-06-12 11:49:29| wrong URI, line number:4 | LoggerUtil.java.error 13
[INFO] 2016-06-12 11:49:29| [impression.log-20160611.log]done,共4行 | LoggerUtil.java.info 9
[INFO] 2016-06-12 11:49:59| start report Job :Sun Jun 12 11:49:59 CST 2016 | LoggerUtil.java.info 9
[ERROR] 2016-06-12 11:49:59| wrong URI, line number:2 | LoggerUtil.java.error 13
[INFO] 2016-06-12 11:49:59| [click.log-20160611.log]done,共5行 | LoggerUtil.java.info 9
[ERROR] 2016-06-12 11:49:59| wrong URI, line number:3 | LoggerUtil.java.error 13
[ERROR] 2016-06-12 11:49:59| wrong URI, line number:4 | LoggerUtil.java.error 13
[INFO] 2016-06-12 11:49:59| [impression.log-20160611.log]done,共4行 | LoggerUtil.java.info 9
[INFO] 2016-06-12 11:50:29| start report Job :Sun Jun 12 11:50:29 CST 2016 | LoggerUtil.java.info 9
[ERROR] 2016-06-12 11:50:30| wrong URI, line number:2 | LoggerUtil.java.error 13
[INFO] 2016-06-12 11:50:30| [click.log-20160611.log]done,共5行 | LoggerUtil.java.info 9
[ERROR] 2016-06-12 11:50:30| wrong URI, line number:3 | LoggerUtil.java.error 13
[ERROR] 2016-06-12 11:50:30| wrong URI, line number:4 | LoggerUtil.java.error 13
[INFO] 2016-06-12 11:50:30| [impression.log-20160611.log]done,共4行 | LoggerUtil.java.info 9
[INFO] 2016-06-12 11:51:00| start report Job :Sun Jun 12 11:51:00 CST 2016 | LoggerUtil.java.info 9
[INFO] 2016-06-12 11:51:00| [click.log-20160611.log]done,共5行 | LoggerUtil.java.info 9
[ERROR] 2016-06-12 11:51:00| wrong URI, line number:2 | LoggerUtil.java.error 13
[ERROR] 2016-06-12 11:51:00| wrong URI, line number:3 | LoggerUtil.java.error 13
[ERROR] 2016-06-12 11:51:00| wrong URI, line number:4 | LoggerUtil.java.error 13
[INFO] 2016-06-12 11:51:00| [impression.log-20160611.log]done,共4行 | LoggerUtil.java.info 9
[INFO] 2016-06-12 11:51:30| start report Job :Sun Jun 12 11:51:30 CST 2016 | LoggerUtil.java.info 9
[ERROR] 2016-06-12 11:51:30| wrong URI, line number:2 | LoggerUtil.java.error 13
[INFO] 2016-06-12 11:51:30| [click.log-20160611.log]done,共5行 | LoggerUtil.java.info 9
[ERROR] 2016-06-12 11:51:30| wrong URI, line number:3 | LoggerUtil.java.error 13
[ERROR] 2016-06-12 11:51:30| wrong URI, line number:4 | LoggerUtil.java.error 13
[INFO] 2016-06-12 11:51:30| [impression.log-20160611.log]done,共4行 | LoggerUtil.java.info 9
[INFO] 2016-06-12 11:52:00| start report Job :Sun Jun 12 11:52:00 CST 2016 | LoggerUtil.java.info 9
[ERROR] 2016-06-12 11:52:00| wrong URI, line number:2 | LoggerUtil.java.error 13
[INFO] 2016-06-12 11:52:00| [click.log-20160611.log]done,共5行 | LoggerUtil.java.info 9
[ERROR] 2016-06-12 11:52:00| wrong URI, line number:3 | LoggerUtil.java.error 13
[ERROR] 2016-06-12 11:52:00| wrong URI, line number:4 | LoggerUtil.java.error 13
[INFO] 2016-06-12 11:52:00| [impression.log-20160611.log]done,共4行 | LoggerUtil.java.info 9
[INFO] 2016-06-12 11:52:30| start report Job :Sun Jun 12 11:52:30 CST 2016 | LoggerUtil.java.info 9
[INFO] 2016-06-12 11:52:30| [click.log-20160611.log]done,共5行 | LoggerUtil.java.info 9
[ERROR] 2016-06-12 11:52:30| wrong URI, line number:2 | LoggerUtil.java.error 13
[ERROR] 2016-06-12 11:52:30| wrong URI, line number:3 | LoggerUtil.java.error 13
[ERROR] 2016-06-12 11:52:30| wrong URI, line number:4 | LoggerUtil.java.error 13
[INFO] 2016-06-12 11:52:30| [impression.log-20160611.log]done,共4行 | LoggerUtil.java.info 9
[INFO] 2016-06-12 11:53:00| start report Job :Sun Jun 12 11:53:00 CST 2016 | LoggerUtil.java.info 9
[ERROR] 2016-06-12 11:53:00| wrong URI, line number:2 | LoggerUtil.java.error 13
[INFO] 2016-06-12 11:53:00| [click.log-20160611.log]done,共5行 | LoggerUtil.java.info 9
[ERROR] 2016-06-12 11:53:00| wrong URI, line number:3 | LoggerUtil.java.error 13
[ERROR] 2016-06-12 11:53:00| wrong URI, line number:4 | LoggerUtil.java.error 13
[INFO] 2016-06-12 11:53:00| [impression.log-20160611.log]done,共4行 | LoggerUtil.java.info 9
[INFO] 2016-06-12 11:53:30| start report Job :Sun Jun 12 11:53:30 CST 2016 | LoggerUtil.java.info 9
[ERROR] 2016-06-12 11:53:30| wrong URI, line number:2 | LoggerUtil.java.error 13
[INFO] 2016-06-12 11:53:30| [click.log-20160611.log]done,共5行 | LoggerUtil.java.info 9
[ERROR] 2016-06-12 11:53:30| wrong URI, line number:3 | LoggerUtil.java.error 13
[ERROR] 2016-06-12 11:53:30| wrong URI, line number:4 | LoggerUtil.java.error 13
[INFO] 2016-06-12 11:53:30| [impression.log-20160611.log]done,共4行 | LoggerUtil.java.info 9
[INFO] 2016-06-12 11:54:00| start report Job :Sun Jun 12 11:54:00 CST 2016 | LoggerUtil.java.info 9
